docnumber,customerref_value,client_name,txndate,fees_billed,costs_billed,write_down_amount,write_off_amount,total_invoice,payment_received,payment_date,outstanding_balance,total_amt,line_amount
INV-2024-0029,M-2024-0026,Riverstone Partners LLC,2024-05-03,189470.0,60,17462.11,0.0,172067.89,133926.64,2024-05-21,38141.25,172067.89,172067.89
INV-2024-0030,M-2024-0002,Pendleton Holdings LLC,2024-05-06,27631.0,340,1413.79,0.0,26557.21,26557.21,2024-06-15,0.0,26557.21,26557.21
INV-2024-0031,M-2024-0003,Crestwood Capital Partners LP,2024-05-06,62605.0,450,8011.14,0.0,55043.86,55043.86,2024-06-10,0.0,55043.86,55043.86
INV-2024-0032,M-2024-0006,Vertex Technologies Inc.,2024-05-07,4163.5,20,105.44,0.0,4078.06,4078.06,2024-07-12,0.0,4078.06,4078.06
INV-2024-0033,M-2024-0007,Allerton Pharmaceuticals LLC,2024-05-07,73416.5,360,7462.54,0.0,66313.96,66313.96,2024-05-15,0.0,66313.96,66313.96
INV-2024-0034,M-2024-0004,Harrington Aerospace Inc.,2024-05-08,29035.5,100,7233.31,0.0,21902.19,21902.19,2024-06-10,0.0,21902.19,21902.19
INV-2024-0035,M-2024-0015,Garrison Industries LLC,2024-05-08,30705.0,220,2020.93,0.0,28904.07,28904.07,2024-05-30,0.0,28904.07,28904.07
INV-2024-0036,M-2024-0001,TechVista Industries Inc.,2024-05-09,32568.5,160,2998.32,0.0,29730.18,29730.18,2024-06-01,0.0,29730.18,29730.18
INV-2024-0037,M-2024-0022,Apex Robotics Inc.,2024-05-09,76790.0,300,9779.33,0.0,67310.67,67310.67,2024-05-23,0.0,67310.67,67310.67
INV-2024-0038,M-2024-0008,Cardinal Resources Inc.,2024-05-10,63568.5,510,2777.56,0.0,61300.94,61300.94,2024-06-13,0.0,61300.94,61300.94
INV-2024-0039,M-2024-0005,Bayshore Logistics Corporation,2024-05-13,20744.0,90,1950.77,0.0,18883.23,18883.23,2024-06-06,0.0,18883.23,18883.23
INV-2024-0040,M-2024-0010,Mariposa Vineyards LLC,2024-05-13,11177.5,160,1365.44,0.0,9972.06,9972.06,2024-07-05,0.0,9972.06,9972.06
INV-2024-0041,M-2024-0013,Pinnacle Therapeutics Inc.,2024-05-13,22347.5,180,1388.46,0.0,21139.04,21139.04,2024-07-02,0.0,21139.04,21139.04
INV-2024-0042,M-2024-0021,Greystone Ventures LLC,2024-05-13,36007.5,60,690.07,0.0,35377.43,35377.43,2024-06-10,0.0,35377.43,35377.43
INV-2024-0043,M-2024-0007,Allerton Pharmaceuticals LLC,2024-06-05,76862.0,630,7812.77,0.0,69679.23,69679.23,2024-06-12,0.0,69679.23,69679.23
INV-2024-0044,M-2024-0022,Apex Robotics Inc.,2024-06-05,139900.0,30,17816.5,0.0,122113.5,122113.5,2024-07-15,0.0,122113.5,122113.5
INV-2024-0045,M-2024-0004,Harrington Aerospace Inc.,2024-06-06,35372.5,200,8811.98,0.0,26760.52,26760.52,2024-07-15,0.0,26760.52,26760.52
INV-2024-0046,M-2024-0003,Crestwood Capital Partners LP,2024-06-07,66956.5,280,8567.97,0.0,58668.53,58668.53,2024-08-06,0.0,58668.53,58668.53
INV-2024-0047,M-2024-0005,Bayshore Logistics Corporation,2024-06-07,7915.0,130,744.33,0.0,7300.67,7300.67,2024-09-01,0.0,7300.67,7300.67
INV-2024-0048,M-2024-0015,Garrison Industries LLC,2024-06-07,29817.5,240,1962.52,0.0,28094.98,28094.98,2024-07-10,0.0,28094.98,28094.98
INV-2024-0049,M-2024-0024,Sandstone Energy LLC,2024-06-07,21702.5,160,945.52,0.0,20916.98,20916.98,2024-06-22,0.0,20916.98,20916.98
INV-2024-0050,M-2024-0001,TechVista Industries Inc.,2024-06-10,19262.0,210,1773.3,0.0,17698.7,17698.7,2024-07-20,0.0,17698.7,17698.7
INV-2024-0051,M-2024-0009,Northbridge Insurance Group,2024-06-10,13352.5,50,2214.48,0.0,11188.02,11188.02,2024-07-27,0.0,11188.02,11188.02
INV-2024-0052,M-2024-0026,Riverstone Partners LLC,2024-06-10,139475.0,240,12854.43,0.0,126860.57,126860.57,2024-07-03,0.0,126860.57,126860.57
INV-2024-0053,M-2024-0010,Mariposa Vineyards LLC,2024-06-12,10646.5,0,1300.57,0.0,9345.93,9345.93,2024-07-08,0.0,9345.93,9345.93
INV-2024-0054,M-2024-0013,Pinnacle Therapeutics Inc.,2024-06-12,26034.5,80,1617.53,0.0,24496.97,24496.97,2024-07-24,0.0,24496.97,24496.97
INV-2024-0055,M-2024-0002,Pendleton Holdings LLC,2024-06-13,31298.5,0,1601.44,0.0,29697.06,29697.06,2024-07-07,0.0,29697.06,29697.06
INV-2024-0056,M-2024-0006,Vertex Technologies Inc.,2024-06-13,18397.5,50,465.91,0.0,17981.59,17981.59,2024-08-07,0.0,17981.59,17981.59
INV-2024-0057,M-2024-0008,Cardinal Resources Inc.,2024-06-13,68278.5,950,2983.36,0.0,66245.14,66245.14,2024-06-29,0.0,66245.14,66245.14
INV-2024-0058,M-2024-0021,Greystone Ventures LLC,2024-06-13,20770.0,50,398.05,0.0,20421.95,20421.95,2024-07-28,0.0,20421.95,20421.95
INV-2024-0059,M-2024-0003,Crestwood Capital Partners LP,2024-07-03,62336.0,0,7976.71,0.0,54359.29,54359.29,2024-08-16,0.0,54359.29,54359.29
INV-2024-0060,M-2024-0033,Brookline Commercial Holdings LLC,2024-07-08,109017.5,280,7917.62,0.0,101379.88,101379.88,2024-08-18,0.0,101379.88,101379.88
INV-2024-0061,M-2024-0007,Allerton Pharmaceuticals LLC,2024-07-09,57735.0,420,5868.57,0.0,52286.43,52286.43,2024-08-30,0.0,52286.43,52286.43
INV-2024-0062,M-2024-0015,Garrison Industries LLC,2024-07-09,16590.0,490,1091.92,0.0,15988.08,15988.08,2024-08-26,0.0,15988.08,15988.08
INV-2024-0063,M-2024-0020,Cascade Foods Holdings Inc.,2024-07-09,29175.0,70,3692.26,0.0,25552.74,25552.74,2024-07-25,0.0,25552.74,25552.74
INV-2024-0064,M-2024-0001,TechVista Industries Inc.,2024-07-10,15275.0,110,1406.25,0.0,13978.75,13978.75,2024-08-22,0.0,13978.75,13978.75
INV-2024-0065,M-2024-0010,Mariposa Vineyards LLC,2024-07-10,11290.0,110,1379.18,0.0,10020.82,10020.82,2024-08-27,0.0,10020.82,10020.82
INV-2024-0066,M-2024-0006,Vertex Technologies Inc.,2024-07-11,6320.5,20,160.06,0.0,6180.44,6180.44,2024-08-21,0.0,6180.44,6180.44
INV-2024-0067,M-2024-0009,Northbridge Insurance Group,2024-07-11,24975.5,70,4142.13,0.0,20903.37,20903.37,2024-09-03,0.0,20903.37,20903.37
INV-2024-0068,M-2024-0013,Pinnacle Therapeutics Inc.,2024-07-11,20566.5,130,1277.8,0.0,19418.7,19418.7,2024-09-08,0.0,19418.7,19418.7
INV-2024-0069,M-2024-0014,Westhampton Real Estate Partners LP,2024-07-11,11869.0,110,2509.25,0.0,9469.75,9469.75,2024-10-07,0.0,9469.75,9469.75
INV-2024-0070,M-2024-0024,Sandstone Energy LLC,2024-07-11,47487.5,0,2068.9,0.0,45418.6,45418.6,2024-08-10,0.0,45418.6,45418.6
INV-2024-0071,M-2024-0021,Greystone Ventures LLC,2024-07-12,16555.0,60,317.27,0.0,16297.73,16297.73,2024-08-05,0.0,16297.73,16297.73
INV-2024-0072,M-2024-0022,Apex Robotics Inc.,2024-07-12,92437.5,220,11772.07,0.0,80885.43,80885.43,2024-07-31,0.0,80885.43,80885.43
INV-2024-0073,M-2024-0002,Pendleton Holdings LLC,2024-07-15,15036.0,520,769.34,0.0,14786.66,14786.66,2024-08-08,0.0,14786.66,14786.66
INV-2024-0074,M-2024-0004,Harrington Aerospace Inc.,2024-07-15,14946.5,160,3723.46,0.0,11383.04,11383.04,2024-09-05,0.0,11383.04,11383.04
INV-2024-0075,M-2024-0005,Bayshore Logistics Corporation,2024-07-15,18023.5,120,1694.93,0.0,16448.57,16448.57,2024-08-13,0.0,16448.57,16448.57
INV-2024-0076,M-2024-0008,Cardinal Resources Inc.,2024-07-15,55146.0,0,2409.55,0.0,52736.45,52736.45,2024-08-15,0.0,52736.45,52736.45
INV-2024-0077,M-2024-0026,Riverstone Partners LLC,2024-07-15,97420.0,150,8978.51,0.0,88591.49,88591.49,2024-09-08,0.0,88591.49,88591.49
INV-2024-0078,M-2024-0005,Bayshore Logistics Corporation,2024-08-05,10918.0,40,1026.73,0.0,9931.27,0.0,,9931.27,9931.27,9931.27
INV-2024-0079,M-2024-0008,Cardinal Resources Inc.,2024-08-05,64322.0,350,2810.49,0.0,61861.51,61861.51,2024-09-25,0.0,61861.51,61861.51
INV-2024-0080,M-2024-0011,Hartwell Construction Inc.,2024-08-05,2817.5,170,677.71,0.0,2309.79,2309.79,2024-11-10,0.0,2309.79,2309.79
INV-2024-0081,M-2024-0022,Apex Robotics Inc.,2024-08-05,87192.5,0,11104.11,0.0,76088.39,76088.39,2024-10-02,0.0,76088.39,76088.39
INV-2024-0082,M-2024-0024,Sandstone Energy LLC,2024-08-05,47677.5,140,2077.18,0.0,45740.32,45740.32,2024-08-12,0.0,45740.32,45740.32
INV-2024-0083,M-2024-0003,Crestwood Capital Partners LP,2024-08-06,57190.5,440,7318.28,0.0,50312.22,50312.22,2024-09-15,0.0,50312.22,50312.22
INV-2024-0084,M-2024-0015,Garrison Industries LLC,2024-08-06,26069.5,180,1715.84,0.0,24533.66,24533.66,2024-09-22,0.0,24533.66,24533.66
INV-2024-0085,M-2024-0021,Greystone Ventures LLC,2024-08-06,17440.0,110,334.23,0.0,17215.77,17215.77,2024-09-20,0.0,17215.77,17215.77
INV-2024-0086,M-2024-0001,TechVista Industries Inc.,2024-08-07,11491.5,60,1057.93,0.0,10493.57,0.0,,10493.57,10493.57,10493.57
INV-2024-0087,M-2024-0007,Allerton Pharmaceuticals LLC,2024-08-07,46317.0,0,4707.97,0.0,41609.03,41609.03,2024-09-25,0.0,41609.03,41609.03
INV-2024-0088,M-2024-0023,Pinewood Group Inc.,2024-08-07,18785.0,120,434.83,0.0,18470.17,18470.17,2024-09-18,0.0,18470.17,18470.17
INV-2024-0089,M-2024-0026,Riverstone Partners LLC,2024-08-07,63885.0,280,5887.83,0.0,58277.17,58277.17,2024-09-14,0.0,58277.17,58277.17
INV-2024-0090,M-2024-0009,Northbridge Insurance Group,2024-08-08,20865.0,230,3460.41,0.0,17634.59,17634.59,2024-09-13,0.0,17634.59,17634.59
INV-2024-0091,M-2024-0010,Mariposa Vineyards LLC,2024-08-08,7390.0,100,902.76,0.0,6587.24,6587.24,2024-08-15,0.0,6587.24,6587.24
INV-2024-0092,M-2024-0013,Pinnacle Therapeutics Inc.,2024-08-08,26914.0,230,1672.17,0.0,25471.83,25471.83,2024-08-15,0.0,25471.83,25471.83
INV-2024-0093,M-2024-0004,Harrington Aerospace Inc.,2024-08-09,20594.5,130,5130.49,0.0,15594.01,15594.01,2024-10-08,0.0,15594.01,15594.01
INV-2024-0094,M-2024-0020,Cascade Foods Holdings Inc.,2024-08-12,73390.0,580,9287.92,0.0,64682.08,64682.08,2024-09-13,0.0,64682.08,64682.08
INV-2024-0095,M-2024-0033,Brookline Commercial Holdings LLC,2024-08-12,177257.5,290,12873.68,0.0,164673.82,164673.82,2024-10-05,0.0,164673.82,164673.82
INV-2024-0096,M-2024-0035,Eastgate Plaza Development LLC,2024-08-12,6230.0,110,712.59,0.0,5627.41,5627.41,2024-08-19,0.0,5627.41,5627.41
INV-2024-0097,M-2024-0002,Pendleton Holdings LLC,2024-08-13,12741.0,360,651.92,0.0,12449.08,12449.08,2024-09-16,0.0,12449.08,12449.08
INV-2024-0098,M-2024-0006,Vertex Technologies Inc.,2024-08-13,7651.5,50,193.77,0.0,7507.73,7507.73,2024-09-03,0.0,7507.73,7507.73
INV-2024-0099,M-2024-0014,Westhampton Real Estate Partners LP,2024-08-13,9837.5,70,2079.77,0.0,7827.73,7827.73,2024-10-02,0.0,7827.73,7827.73
INV-2024-0100,M-2024-0003,Crestwood Capital Partners LP,2024-09-05,55685.0,650,7125.63,0.0,49209.37,49209.37,2024-10-11,0.0,49209.37,49209.37
INV-2024-0101,M-2024-0011,Hartwell Construction Inc.,2024-09-05,11170.0,110,2686.8,0.0,8593.2,8593.2,2024-09-30,0.0,8593.2,8593.2
INV-2024-0102,M-2024-0022,Apex Robotics Inc.,2024-09-05,81760.0,290,10412.27,0.0,71637.73,0.0,,71637.73,71637.73,71637.73
INV-2024-0103,M-2024-0024,Sandstone Energy LLC,2024-09-05,43725.0,150,1904.98,0.0,41970.02,41970.02,2024-10-16,0.0,41970.02,41970.02
INV-2024-0104,M-2024-0033,Brookline Commercial Holdings LLC,2024-09-05,91772.5,520,6665.16,0.0,85627.34,85627.34,2024-09-12,0.0,85627.34,85627.34
INV-2024-0105,M-2024-0002,Pendleton Holdings LLC,2024-09-06,23668.0,190,1211.01,0.0,22646.99,22646.99,2024-10-04,0.0,22646.99,22646.99
INV-2024-0106,M-2024-0007,Allerton Pharmaceuticals LLC,2024-09-06,53056.0,310,5392.97,0.0,47973.03,47973.03,2024-10-22,0.0,47973.03,47973.03
INV-2024-0107,M-2024-0012,Coastal Networks Inc.,2024-09-06,5801.0,20,316.82,0.0,5504.18,5504.18,2024-10-16,0.0,5504.18,5504.18
INV-2024-0108,M-2024-0035,Eastgate Plaza Development LLC,2024-09-09,95802.5,70,10957.87,0.0,84914.63,84914.63,2024-10-20,0.0,84914.63,84914.63
INV-2024-0109,M-2024-0001,TechVista Industries Inc.,2024-09-10,20713.0,340,1906.88,0.0,19146.12,0.0,,19146.12,19146.12,19146.12
INV-2024-0110,M-2024-0004,Harrington Aerospace Inc.,2024-09-10,17274.0,290,4303.29,0.0,13260.71,13260.71,2024-09-30,0.0,13260.71,13260.71
INV-2024-0111,M-2024-0009,Northbridge Insurance Group,2024-09-10,35233.0,270,5843.31,0.0,29659.69,29659.69,2024-10-05,0.0,29659.69,29659.69
INV-2024-0112,M-2024-0020,Cascade Foods Holdings Inc.,2024-09-10,80052.5,460,10131.1,0.0,70381.4,70381.4,2024-10-21,0.0,70381.4,70381.4
INV-2024-0113,M-2024-0006,Vertex Technologies Inc.,2024-09-11,3959.0,50,100.26,0.0,3908.74,3908.74,2024-09-28,0.0,3908.74,3908.74
INV-2024-0114,M-2024-0008,Cardinal Resources Inc.,2024-09-11,65023.0,600,2841.12,0.0,62781.88,62781.88,2024-10-12,0.0,62781.88,62781.88
INV-2024-0115,M-2024-0014,Westhampton Real Estate Partners LP,2024-09-11,6402.5,50,1353.57,0.0,5098.93,5098.93,2024-10-20,0.0,5098.93,5098.93
INV-2024-0116,M-2024-0027,Calderon Family Office,2024-09-11,9395.0,70,921.74,0.0,8543.26,8543.26,2024-10-05,0.0,8543.26,8543.26
INV-2024-0117,M-2024-0015,Garrison Industries LLC,2024-09-12,27217.0,320,1791.36,0.0,25745.64,25745.64,2024-10-31,0.0,25745.64,25745.64
INV-2024-0118,M-2024-0023,Pinewood Group Inc.,2024-09-12,42707.5,190,988.58,0.0,41908.92,41908.92,2024-10-13,0.0,41908.92,41908.92
INV-2024-0119,M-2024-0026,Riverstone Partners LLC,2024-09-12,65927.5,0,6076.07,0.0,59851.43,59851.43,2024-10-07,0.0,59851.43,59851.43
INV-2024-0120,M-2024-0005,Bayshore Logistics Corporation,2024-09-13,7810.5,30,734.5,0.0,7106.0,7106.0,2024-10-14,0.0,7106.0,7106.0
INV-2024-0121,M-2024-0010,Mariposa Vineyards LLC,2024-09-13,6002.5,50,733.26,0.0,5319.24,5319.24,2024-10-23,0.0,5319.24,5319.24
INV-2024-0122,M-2024-0013,Pinnacle Therapeutics Inc.,2024-09-13,21348.0,100,1326.36,0.0,20121.64,20121.64,2024-09-30,0.0,20121.64,20121.64
INV-2024-0123,M-2024-0021,Greystone Ventures LLC,2024-09-13,13567.5,40,260.02,0.0,13347.48,13347.48,2024-11-12,0.0,13347.48,13347.48
INV-2024-0124,M-2024-0031,Maplewood Advisors LLC,2024-09-19,40000.00,715.34,0.0,0.0,40715.34,40715.34,2024-10-14,0.00,40715.34,40715.34
INV-2024-0125,M-2024-0003,Crestwood Capital Partners LP,2024-10-03,54384.5,290,6959.21,0.0,47715.29,23455.55,2024-12-02,24259.74,47715.29,47715.29
INV-2024-0126,M-2024-0027,Calderon Family Office,2024-10-03,14502.5,30,1422.84,0.0,13109.66,13109.66,2024-10-13,0.0,13109.66,13109.66
INV-2024-0127,M-2024-0009,Northbridge Insurance Group,2024-10-04,14894.0,0,2470.14,0.0,12423.86,12423.86,2024-11-29,0.0,12423.86,12423.86
INV-2024-0128,M-2024-0002,Pendleton Holdings LLC,2024-10-07,27031.0,120,1383.09,0.0,25767.91,25767.91,2024-11-15,0.0,25767.91,25767.91
INV-2024-0129,M-2024-0005,Bayshore Logistics Corporation,2024-10-07,13365.5,10,1256.89,0.0,12118.61,12118.61,2024-10-15,0.0,12118.61,12118.61
INV-2024-0130,M-2024-0006,Vertex Technologies Inc.,2024-10-07,12482.5,70,316.11,0.0,12236.39,12236.39,2024-12-19,0.0,12236.39,12236.39
INV-2024-0131,M-2024-0012,Coastal Networks Inc.,2024-10-07,8017.5,50,437.87,0.0,7629.63,7629.63,2024-11-10,0.0,7629.63,7629.63
INV-2024-0132,M-2024-0020,Cascade Foods Holdings Inc.,2024-10-07,45922.5,260,5811.75,0.0,40370.75,40370.75,2024-10-14,0.0,40370.75,40370.75
INV-2024-0133,M-2024-0035,Eastgate Plaza Development LLC,2024-10-07,79515.0,120,9094.91,0.0,70540.09,70540.09,2024-10-24,0.0,70540.09,70540.09
INV-2024-0134,M-2024-0010,Mariposa Vineyards LLC,2024-10-08,13983.0,10,1708.15,0.0,12284.85,12284.85,2024-11-11,0.0,12284.85,12284.85
INV-2024-0135,M-2024-0022,Apex Robotics Inc.,2024-10-08,58430.0,210,7441.16,0.0,51198.84,51198.84,2024-10-27,0.0,51198.84,51198.84
INV-2024-0136,M-2024-0023,Pinewood Group Inc.,2024-10-08,26697.5,100,617.99,0.0,26179.51,26179.51,2024-11-19,0.0,26179.51,26179.51
INV-2024-0137,M-2024-0026,Riverstone Partners LLC,2024-10-08,62997.5,50,5806.03,0.0,57241.47,57241.47,2024-11-09,0.0,57241.47,57241.47
INV-2024-0138,M-2024-0033,Brookline Commercial Holdings LLC,2024-10-08,75080.0,310,5452.84,0.0,69937.16,69937.16,2024-11-28,0.0,69937.16,69937.16
INV-2024-0139,M-2024-0034,Larkspur Properties Inc.,2024-10-08,20252.5,90,1170.98,0.0,19171.52,19171.52,2024-11-17,0.0,19171.52,19171.52
INV-2024-0140,M-2024-0008,Cardinal Resources Inc.,2024-10-09,41431.0,400,1810.29,0.0,40020.71,40020.71,2024-11-26,0.0,40020.71,40020.71
INV-2024-0141,M-2024-0013,Pinnacle Therapeutics Inc.,2024-10-09,28314.5,70,1759.19,0.0,26625.31,26625.31,2024-12-06,0.0,26625.31,26625.31
INV-2024-0142,M-2024-0021,Greystone Ventures LLC,2024-10-09,15030.0,30,288.05,0.0,14771.95,14771.95,2024-11-29,0.0,14771.95,14771.95
INV-2024-0143,M-2024-0024,Sandstone Energy LLC,2024-10-09,30367.5,90,1323.03,0.0,29134.47,29134.47,2024-11-30,0.0,29134.47,29134.47
INV-2024-0144,M-2024-0001,TechVista Industries Inc.,2024-10-10,23675.0,0,2179.57,0.0,21495.43,10487.33,2024-12-18,11008.1,21495.43,21495.43
INV-2024-0145,M-2024-0004,Harrington Aerospace Inc.,2024-10-10,19748.0,320,4919.61,0.0,15148.39,15148.39,2024-11-13,0.0,15148.39,15148.39
INV-2024-0146,M-2024-0007,Allerton Pharmaceuticals LLC,2024-10-10,46282.5,520,4704.46,0.0,42098.04,42098.04,2024-11-18,0.0,42098.04,42098.04
INV-2024-0147,M-2024-0011,Hartwell Construction Inc.,2024-10-10,13825.0,110,3325.43,0.0,10609.57,10609.57,2024-11-24,0.0,10609.57,10609.57
INV-2024-0148,M-2024-0015,Garrison Industries LLC,2024-10-10,24446.0,210,1608.98,0.0,23047.02,23047.02,2024-11-15,0.0,23047.02,23047.02
INV-2024-0149,M-2024-0025,Vanguard Healthcare Inc.,2024-10-10,4450.0,20,126.7,0.0,4343.3,4343.3,2024-11-24,0.0,4343.3,4343.3
INV-2024-0150,M-2024-0014,Westhampton Real Estate Partners LP,2024-10-11,7360.5,60,1556.1,0.0,5864.4,5864.4,2024-11-17,0.0,5864.4,5864.4
INV-2024-0151,M-2024-0019,Lumina Capital Inc.,2024-10-11,26057.5,10,2916.24,0.0,23151.26,23151.26,2024-12-21,0.0,23151.26,23151.26
INV-2024-0152,M-2024-0030,Quantum Materials Inc.,2024-10-22,65000.00,720.31,0.0,0.0,65720.31,65720.31,2024-11-11,0.00,65720.31,65720.31
INV-2024-0153,M-2024-0037,Pemberton Office Holdings LLC,2024-10-31,200000.00,632.47,0.0,0.0,200632.47,200632.47,2024-12-24,0.00,200632.47,200632.47
INV-2024-0154,M-2024-0003,Crestwood Capital Partners LP,2024-11-05,51004.5,470,6526.7,0.0,44947.8,44947.8,2024-12-12,0.0,44947.8,44947.8
INV-2024-0155,M-2024-0004,Harrington Aerospace Inc.,2024-11-05,33520.5,130,8350.61,0.0,25299.89,25299.89,2024-12-10,0.0,25299.89,25299.89
INV-2024-0156,M-2024-0012,Coastal Networks Inc.,2024-11-05,3053.0,80,166.74,0.0,2966.26,0.0,,2966.26,2966.26,2966.26
INV-2024-0157,M-2024-0013,Pinnacle Therapeutics Inc.,2024-11-05,26192.0,260,1627.32,0.0,24824.68,14411.77,2024-12-27,10412.91,24824.68,24824.68
INV-2024-0158,M-2024-0020,Cascade Foods Holdings Inc.,2024-11-05,62362.5,190,7892.33,0.0,54660.17,54660.17,2024-12-07,0.0,54660.17,54660.17
INV-2024-0159,M-2024-0008,Cardinal Resources Inc.,2024-11-06,61446.5,380,2684.84,0.0,59141.66,59141.66,2024-12-25,0.0,59141.66,59141.66
INV-2024-0160,M-2024-0015,Garrison Industries LLC,2024-11-06,23192.0,250,1526.44,0.0,21915.56,21915.56,2024-12-20,0.0,21915.56,21915.56
INV-2024-0161,M-2024-0025,Vanguard Healthcare Inc.,2024-11-06,29085.0,30,828.11,0.0,28286.89,28286.89,2024-12-07,0.0,28286.89,28286.89
INV-2024-0162,M-2024-0027,Calderon Family Office,2024-11-06,21690.0,50,2128.0,0.0,19612.0,19612.0,2024-11-27,0.0,19612.0,19612.0
INV-2024-0163,M-2024-0001,TechVista Industries Inc.,2024-11-07,31234.5,330,2875.51,0.0,28688.99,0.0,,28688.99,28688.99,28688.99
INV-2024-0164,M-2024-0019,Lumina Capital Inc.,2024-11-07,17712.5,60,1982.31,0.0,15790.19,15790.19,2024-11-14,0.0,15790.19,15790.19
